Zip Code,Official USPS city name,Official USPS State Code,Official State Name,Primary Official County Name,Official County Name
90005,Los Angeles,CA,California,Los Angeles,Los Angeles
90006,Los Angeles,CA,California,Los Angeles,Los Angeles
90008,Los Angeles,CA,California,Los Angeles,Los Angeles
90040,Los Angeles,CA,California,Los Angeles,Los Angeles
90045,Los Angeles,CA,California,Los Angeles,Los Angeles
90401,Santa Monica,CA,California,Los Angeles,Los Angeles
90504,Torrance,CA,California,Los Angeles,Los Angeles
90717,Lomita,CA,California,Los Angeles,Los Angeles
90808,Long Beach,CA,California,Los Angeles,Los Angeles
91214,La Crescenta,CA,California,Los Angeles,Los Angeles
91324,Northridge,CA,California,Los Angeles,Los Angeles
91331,Pacoima,CA,California,Los Angeles,Los Angeles
91371,Woodland Hills,CA,California,Los Angeles,Los Angeles
91384,Castaic,CA,California,Los Angeles,Los Angeles
91730,Rancho Cucamonga,CA,California,San Bernardino,San Bernardino
91762,Ontario,CA,California,San Bernardino,San Bernardino
92007,Cardiff By The Sea,CA,California,San Diego,San Diego
92081,Vista,CA,California,San Diego,San Diego
92113,San Diego,CA,California,San Diego,San Diego
92114,San Diego,CA,California,San Diego,San Diego
92118,Coronado,CA,California,San Diego,San Diego
92250,Holtville,CA,California,Imperial,Imperial
92284,Yucca Valley,CA,California,San Bernardino,San Bernardino
92305,Angelus Oaks,CA,California,San Bernardino,San Bernardino
92384,Shoshone,CA,California,Inyo,Inyo
92660,Newport Beach,CA,California,Orange,Orange
92662,Newport Beach,CA,California,Orange,Orange
93103,Santa Barbara,CA,California,Santa Barbara,Santa Barbara
93117,Goleta,CA,California,Santa Barbara,Santa Barbara
93221,Exeter,CA,California,Tulare,Tulare
93962,Spreckels,CA,California,Monterey,Monterey
94117,San Francisco,CA,California,San Francisco,San Francisco
94507,Alamo,CA,California,Contra Costa,Contra Costa
94535,Travis Afb,CA,California,Solano,Solano
94803,El Sobrante,CA,California,Contra Costa,Contra Costa
94904,Greenbrae,CA,California,Marin,Marin
94928,Rohnert Park,CA,California,Sonoma,Sonoma
94947,Novato,CA,California,Marin,Marin
95003,Aptos,CA,California,Santa Cruz,Santa Cruz
95045,San Juan Bautista,CA,California,San Benito,San Benito
95070,Saratoga,CA,California,Santa Clara,Santa Clara
95242,Lodi,CA,California,San Joaquin,San Joaquin
95245,Mokelumne Hill,CA,California,Calaveras,Calaveras
95301,Atwater,CA,California,Merced,Merced
95355,Modesto,CA,California,Stanislaus,Stanislaus
95383,Twain Harte,CA,California,Tuolumne,Tuolumne
95385,Vernalis,CA,California,Stanislaus,"Stanislaus,San Joaquin"
95555,Orick,CA,California,Humboldt,Humboldt
95595,Zenia,CA,California,Trinity,Trinity
95626,Elverta,CA,California,Sacramento,"Sacramento,Placer,Sutter"
95668,Pleasant Grove,CA,California,Sutter,"Sutter,Placer"
95690,Walnut Grove,CA,California,Sacramento,"Sacramento,Solano"
95691,West Sacramento,CA,California,Yolo,Yolo
95709,Camino,CA,California,El Dorado,El Dorado
95765,Rocklin,CA,California,Placer,Placer
95814,Sacramento,CA,California,Sacramento,Sacramento
95916,Berry Creek,CA,California,Butte,Butte
95926,Chico,CA,California,Butte,Butte
95955,Maxwell,CA,California,Colusa,Colusa
96008,Bella Vista,CA,California,Shasta,Shasta
96047,Igo,CA,California,Shasta,Shasta
96055,Los Molinos,CA,California,Tehama,Tehama
96062,Millville,CA,California,Shasta,Shasta
96821,Honolulu,HI,Hawaii,Honolulu,Honolulu
96915,Santa Rita,GU,Guam,Guam,Guam
97020,Donald,OR,Oregon,Marion,Marion
97054,Deer Island,OR,Oregon,Columbia,Columbia
97136,Rockaway Beach,OR,Oregon,Tillamook,Tillamook
97205,Portland,OR,Oregon,Multnomah,Multnomah
97230,Portland,OR,Oregon,Multnomah,Multnomah
97343,Eddyville,OR,Oregon,Lincoln,Lincoln
97351,Independence,OR,Oregon,Polk,Polk
97364,Neotsu,OR,Oregon,Lincoln,Lincoln
97365,Newport,OR,Oregon,Lincoln,Lincoln
97538,Selma,OR,Oregon,Josephine,Josephine
97730,Camp Sherman,OR,Oregon,Jefferson,Jefferson
97732,Crane,OR,Oregon,Harney,Harney
98029,Issaquah,WA,Washington,King,King
98070,Vashon,WA,Washington,King,King
98074,Sammamish,WA,Washington,King,King
98103,Seattle,WA,Washington,King,King
98257,La Conner,WA,Washington,Skagit,Skagit
98336,Glenoma,WA,Washington,Lewis,Lewis
98346,Kingston,WA,Washington,Kitsap,Kitsap
57432,Claremont,SD,South Dakota,Brown,"Brown,Marshall"
93262,Sequoia National Park,CA,California,Tulare,Tulare
93432,Creston,CA,California,San Luis Obispo,San Luis Obispo
93441,Los Olivos,CA,California,Santa Barbara,Santa Barbara
93514,Bishop,CA,California,Inyo,"Inyo,Mono"
93529,June Lake,CA,California,Mono,Mono
93536,Lancaster,CA,California,Los Angeles,Los Angeles
93545,Lone Pine,CA,California,Inyo,Inyo
93633,Kings Canyon National Pk,CA,California,Tulare,"Tulare,Fresno"
664,Jayuya,PR,Puerto Rico,Jayuya,"Jayuya,Utuado"
717,Ponce,PR,Puerto Rico,Ponce,Ponce
979,Carolina,PR,Puerto Rico,Carolina,Carolina
1022,Chicopee,MA,Massachusetts,Hampden,Hampden
1034,Granville,MA,Massachusetts,Hampden,Hampden
1037,Hardwick,MA,Massachusetts,Worcester,Worcester
1038,Hatfield,MA,Massachusetts,Hampshire,Hampshire
1331,Athol,MA,Massachusetts,Worcester,Worcester
1341,Conway,MA,Massachusetts,Franklin,Franklin
1524,Leicester,MA,Massachusetts,Worcester,Worcester
1832,Haverhill,MA,Massachusetts,Essex,Essex
1835,Haverhill,MA,Massachusetts,Essex,Essex
1887,Wilmington,MA,Massachusetts,Middlesex,Middlesex
2109,Boston,MA,Massachusetts,Suffolk,Suffolk
2150,Chelsea,MA,Massachusetts,Suffolk,Suffolk
2170,Quincy,MA,Massachusetts,Norfolk,Norfolk
2472,Watertown,MA,Massachusetts,Middlesex,Middlesex
2493,Weston,MA,Massachusetts,Middlesex,Middlesex
2532,Buzzards Bay,MA,Massachusetts,Barnstable,"Barnstable,Plymouth"
2718,East Taunton,MA,Massachusetts,Bristol,Bristol
2762,Plainville,MA,Massachusetts,Norfolk,Norfolk
2808,Bradford,RI,Rhode Island,Washington,Washington
2812,Carolina,RI,Rhode Island,Washington,Washington
2826,Glendale,RI,Rhode Island,Providence,Providence
2828,Greenville,RI,Rhode Island,Providence,Providence
2830,Harrisville,RI,Rhode Island,Providence,Providence
2837,Little Compton,RI,Rhode Island,Newport,Newport
3055,Milford,NH,New Hampshire,Hillsborough,Hillsborough
3057,Mont Vernon,NH,New Hampshire,Hillsborough,Hillsborough
3221,Bradford,NH,New Hampshire,Merrimack,Merrimack
3222,Bristol,NH,New Hampshire,Grafton,Grafton
3243,Hill,NH,New Hampshire,Merrimack,Merrimack
3246,Laconia,NH,New Hampshire,Belknap,Belknap
3254,Moultonborough,NH,New Hampshire,Carroll,"Carroll,Belknap"
3264,Plymouth,NH,New Hampshire,Grafton,Grafton
3746,Cornish Flat,NH,New Hampshire,Sullivan,Sullivan
3748,Enfield,NH,New Hampshire,Grafton,"Grafton,Sullivan"
3825,Barrington,NH,New Hampshire,Strafford,Strafford
3847,Kearsarge,NH,New Hampshire,Carroll,Carroll
3853,Mirror Lake,NH,New Hampshire,Carroll,Carroll
4050,Long Island,ME,Maine,Cumberland,Cumberland
4108,Peaks Island,ME,Maine,Cumberland,Cumberland
4345,Gardiner,ME,Maine,Kennebec,"Kennebec,Sagadahoc"
4490,Topsfield,ME,Maine,Washington,Washington
4497,Wytopitlock,ME,Maine,Aroostook,"Aroostook,Penobscot"
4605,Ellsworth,ME,Maine,Hancock,Hancock
4849,Lincolnville,ME,Maine,Waldo,Waldo
4921,Brooks,ME,Maine,Waldo,Waldo
4953,Newport,ME,Maine,Penobscot,Penobscot
4958,North Anson,ME,Maine,Somerset,Somerset
4964,Oquossoc,ME,Maine,Franklin,"Franklin,Oxford"
4973,Searsmont,ME,Maine,Waldo,Waldo
5075,Thetford Center,VT,Vermont,Orange,Orange
5077,Tunbridge,VT,Vermont,Orange,Orange
5252,East Arlington,VT,Vermont,Bennington,Bennington
5455,Fairfield,VT,Vermont,Franklin,Franklin
5778,Whiting,VT,Vermont,Addison,"Addison,Rutland"
5824,Concord,VT,Vermont,Essex,"Essex,Caledonia"
6023,East Berlin,CT,Connecticut,Hartford,Hartford
6032,Farmington,CT,Connecticut,Hartford,Hartford
6254,North Franklin,CT,Connecticut,New London,New London
6263,Rogers,CT,Connecticut,Windham,Windham
6360,Norwich,CT,Connecticut,New London,New London
6374,Plainfield,CT,Connecticut,Windham,Windham
6444,Marion,CT,Connecticut,Hartford,Hartford
6517,Hamden,CT,Connecticut,New Haven,New Haven
